PLAYER_NAME,SEASON,TEAM_ABBREVIATION,GP,MIN,steals_p36,blocks_p36,stocks_p36,DEF_RATING,DREB_PCT,DEF_RANK,team_def_quality,availability_score,defense_impact,elite_defender_context
AJ Green,2025-26,MIL,22,29.1,0.6185567010309277,0.0,0.6185567010309277,116.7,0.102,8,0.7666666666666667,0.216869918699187,0.4742268041237113,0
Ajay Mitchell,2025-26,OKC,22,26.7,2.0224719101123596,0.4044943820224719,2.4269662921348316,99.6,0.099,1,1.0,0.1989837398373984,2.4269662921348316,0
Brandon Ingram,2025-26,TOR,22,34.0,1.0588235294117647,0.6352941176470588,1.6941176470588235,114.4,0.149,25,0.2,0.25338753387533874,0.33882352941176475,0
Brandin Podziemski,2025-26,GSW,22,28.3,1.526501766784452,0.254416961130742,1.7809187279151941,107.7,0.138,15,0.5333333333333333,0.2109078590785908,0.9498233215547702,0
Bobby Portis,2025-26,MIL,22,21.3,0.676056338028169,0.0,0.676056338028169,117.5,0.199,8,0.7666666666666667,0.158739837398374,0.5183098591549296,0
Cam Spencer,2025-26,MEM,22,20.4,1.2352941176470589,0.17647058823529416,1.411764705882353,114.4,0.086,5,0.8666666666666667,0.15203252032520326,1.223529411764706,0
Buddy Hield,2025-26,GSW,22,18.0,1.8,0.0,1.8,117.4,0.083,15,0.5333333333333333,0.13414634146341464,0.96,0
Collin Gillespie,2025-26,PHX,22,26.8,1.6119402985074627,0.40298507462686567,2.014925373134328,110.3,0.111,19,0.4,0.19972899728997293,0.8059701492537313,0
Cedric Coward,2025-26,MEM,22,27.2,0.7941176470588236,0.3970588235294118,1.1911764705882355,109.0,0.151,5,0.8666666666666667,0.202710027100271,1.0323529411764707,0
Derik Queen,2025-26,NOP,22,24.3,1.4814814814814814,1.037037037037037,2.518518518518518,121.9,0.189,20,0.36666666666666664,0.18109756097560978,0.9234567901234566,0
Devin Booker,2025-26,PHX,22,34.7,0.9337175792507204,0.41498559077809793,1.3487031700288183,112.4,0.094,19,0.4,0.25860433604336047,0.5394812680115274,0
Jeremiah Fears,2025-26,NOP,22,27.5,1.9636363636363636,0.26181818181818184,2.2254545454545456,124.1,0.107,20,0.36666666666666664,0.20494579945799457,0.816,0
Jaylen Wells,2025-26,MEM,22,26.5,0.8150943396226414,0.0,0.8150943396226414,116.6,0.084,5,0.8666666666666667,0.19749322493224936,0.7064150943396226,0
Gradey Dick,2025-26,TOR,22,16.3,1.54601226993865,0.22085889570552147,1.7668711656441716,102.5,0.096,25,0.2,0.1214769647696477,0.3533742331288343,0
Immanuel Quickley,2025-26,TOR,22,32.3,1.3374613003095974,0.0,1.3374613003095974,109.9,0.119,25,0.2,0.2407181571815718,0.2674922600619195,0
Dyson Daniels,2025-26,ATL,22,33.8,2.4497041420118344,0.42603550295857995,2.8757396449704142,112.7,0.122,22,0.3,0.2518970189701897,0.8627218934911243,0
Gary Trent Jr.,2025-26,MIL,22,28.2,1.148936170212766,0.12765957446808512,1.2765957446808511,119.6,0.046,8,0.7666666666666667,0.21016260162601627,0.9787234042553192,0
Jamal Shead,2025-26,TOR,22,18.9,2.095238095238096,0.1904761904761905,2.2857142857142865,108.8,0.07,25,0.2,0.14085365853658535,0.4571428571428573,0
Jock Landale,2025-26,MEM,22,21.7,0.8294930875576038,0.663594470046083,1.4930875576036868,120.9,0.152,5,0.8666666666666667,0.1617208672086721,1.294009216589862,0
Royce O'Neale,2025-26,PHX,22,30.2,1.4304635761589404,0.2384105960264901,1.6688741721854305,114.9,0.152,19,0.4,0.22506775067750678,0.6675496688741722,0
Mouhamed Gueye,2025-26,ATL,22,17.6,1.227272727272727,1.4318181818181817,2.6590909090909087,107.9,0.127,22,0.3,0.13116531165311654,0.7977272727272726,0
Santi Aldama,2025-26,MEM,22,26.0,1.2461538461538462,1.1076923076923078,2.353846153846154,119.4,0.189,5,0.8666666666666667,0.1937669376693767,2.04,0
Shai Gilgeous-Alexander,2025-26,OKC,22,33.6,1.6071428571428572,0.75,2.357142857142857,105.0,0.115,1,1.0,0.25040650406504067,2.357142857142857,0
Scottie Barnes,2025-26,TOR,22,33.6,1.5,1.7142857142857142,3.2142857142857144,110.8,0.165,25,0.2,0.25040650406504067,0.6428571428571429,0
Quinten Post,2025-26,GSW,22,16.1,1.341614906832298,1.1180124223602483,2.4596273291925463,101.9,0.16,15,0.5333333333333333,0.11998644986449866,1.3118012422360248,0
Oso Ighodaro,2025-26,PHX,22,17.1,1.4736842105263155,1.263157894736842,2.7368421052631575,109.4,0.162,19,0.4,0.12743902439024393,1.094736842105263,0
Ryan Rollins,2025-26,MIL,22,32.4,1.777777777777778,0.4444444444444445,2.2222222222222223,114.9,0.098,8,0.7666666666666667,0.24146341463414633,1.703703703703704,0
Myles Turner,2025-26,MIL,22,29.6,1.216216216216216,2.0675675675675675,3.2837837837837833,113.9,0.167,8,0.7666666666666667,0.22059620596205964,2.5175675675675673,1
Kentavious Caldwell-Pope,2025-26,MEM,22,21.9,0.9863013698630138,0.32876712328767127,1.315068493150685,115.7,0.091,5,0.8666666666666667,0.16321138211382114,1.1397260273972605,0
Max Christie,2025-26,DAL,22,29.3,0.6143344709897611,0.6143344709897611,1.2286689419795223,113.2,0.1,16,0.5,0.21836043360433605,0.6143344709897611,0
Naji Marshall,2025-26,DAL,22,27.1,1.4612546125461254,0.13284132841328414,1.5940959409594095,111.1,0.144,16,0.5,0.2019647696476965,0.7970479704797048,0
Cole Anthony,2025-26,MIL,21,16.9,1.4911242603550297,0.6390532544378699,2.1301775147928996,114.4,0.131,8,0.7666666666666667,0.12022357723577234,1.6331360946745566,0
Cooper Flagg,2025-26,DAL,21,33.9,1.4867256637168142,0.6371681415929203,2.1238938053097347,113.5,0.147,16,0.5,0.24115853658536585,1.0619469026548674,0
John Collins,2025-26,LAC,21,26.8,0.9402985074626865,0.9402985074626865,1.880597014925373,119.0,0.128,12,0.6333333333333333,0.19065040650406506,1.191044776119403,0
Jaylin Williams,2025-26,OKC,21,18.2,1.1868131868131868,0.989010989010989,2.175824175824176,101.3,0.2,1,1.0,0.12947154471544714,2.175824175824176,0
Javonte Green,2025-26,DET,21,19.4,1.6701030927835052,0.9278350515463918,2.597938144329897,106.0,0.107,27,0.13333333333333333,0.1380081300813008,0.3463917525773196,0
Jarace Walker,2025-26,IND,21,27.4,0.9197080291970803,0.6569343065693432,1.5766423357664234,115.8,0.159,18,0.43333333333333335,0.19491869918699187,0.6832116788321169,0
Jay Huff,2025-26,IND,21,17.8,0.20224719101123595,4.651685393258426,4.853932584269662,102.8,0.114,18,0.43333333333333335,0.12662601626016262,2.103370786516854,0
Dru Smith,2025-26,MIA,21,17.0,3.1764705882352944,0.4235294117647059,3.6,105.2,0.074,6,0.8333333333333334,0.1209349593495935,3.0,1
Donte DiVincenzo,2025-26,MIN,21,31.5,1.2571428571428571,0.45714285714285713,1.7142857142857142,111.7,0.094,11,0.6666666666666666,0.22408536585365854,1.1428571428571428,0
Drew Eubanks,2025-26,SAC,21,15.7,1.375796178343949,1.8343949044585988,3.210191082802548,113.8,0.145,17,0.4666666666666667,0.1116869918699187,1.4980891719745224,0
Evan Mobley,2025-26,CLE,21,34.1,1.0557184750733137,1.689149560117302,2.744868035190616,110.5,0.178,14,0.5666666666666667,0.24258130081300816,1.555425219941349,0
Rudy Gobert,2025-26,MIN,21,32.1,0.4485981308411215,1.794392523364486,2.2429906542056073,107.1,0.192,11,0.6666666666666666,0.22835365853658537,1.495327102803738,0
Saddiq Bey,2025-26,NOP,21,28.6,1.2587412587412585,0.1258741258741259,1.3846153846153844,120.5,0.15,20,0.36666666666666664,0.20345528455284556,0.5076923076923076,0
Ronald Holland II,2025-26,DET,21,21.4,3.0280373831775704,0.5046728971962616,3.532710280373832,107.4,0.113,27,0.13333333333333333,0.1522357723577236,0.4710280373831776,0
Sandro Mamukelashvili,2025-26,TOR,21,18.9,0.9523809523809524,0.9523809523809524,1.9047619047619049,103.5,0.138,25,0.2,0.1344512195121951,0.380952380952381,0
Nicolas Batum,2025-26,LAC,21,18.9,1.9047619047619049,0.9523809523809524,2.857142857142857,120.0,0.115,12,0.6333333333333333,0.1344512195121951,1.8095238095238095,0
Payton Pritchard,2025-26,BOS,21,32.2,0.7826086956521737,0.11180124223602483,0.8944099378881986,114.7,0.096,4,0.9,0.22906504065040653,0.8049689440993787,0
Onyeka Okongwu,2025-26,ATL,21,30.5,1.0622950819672132,1.298360655737705,2.360655737704918,110.3,0.178,22,0.3,0.21697154471544716,0.7081967213114754,0
Julius Randle,2025-26,MIN,21,33.5,1.1820895522388062,0.21492537313432836,1.3970149253731345,114.9,0.167,11,0.6666666666666666,0.2383130081300813,0.9313432835820896,0
Kel'el Ware,2025-26,MIA,21,24.4,1.4754098360655739,1.918032786885246,3.39344262295082,112.2,0.241,6,0.8333333333333334,0.1735772357723577,2.8278688524590168,1
Jose Alvarado,2025-26,NOP,21,21.7,1.4930875576036866,0.0,1.4930875576036866,114.8,0.105,20,0.36666666666666664,0.15436991869918698,0.5474654377880184,0
Miles Bridges,2025-26,CHA,21,35.0,0.6171428571428572,0.6171428571428572,1.2342857142857144,119.8,0.146,30,0.03333333333333333,0.24898373983739838,0.04114285714285715,0
