PLAYER_NAME,SEASON,DPOY_VOTE_SHARE
Kawhi Leonard,2014-15,0.516
Draymond Green,2014-15,0.491
DeAndre Jordan,2014-15,0.405
Anthony Davis,2014-15,0.166
Rudy Gobert,2014-15,0.051
Andrew Bogut,2014-15,0.048
Tony Allen,2014-15,0.045
Tim Duncan,2014-15,0.019
Kawhi Leonard,2015-16,0.842
Draymond Green,2015-16,0.648
Hassan Whiteside,2015-16,0.128
DeAndre Jordan,2015-16,0.077
Paul Millsap,2015-16,0.032
Avery Bradley,2015-16,0.022
Rudy Gobert,2015-16,0.020
Tony Allen,2015-16,0.008
Draymond Green,2016-17,0.868
Rudy Gobert,2016-17,0.538
Kawhi Leonard,2016-17,0.364
Robert Covington,2016-17,0.008
LeBron James,2016-17,0.006
Andre Roberson,2016-17,0.006
Hassan Whiteside,2016-17,0.006
LaMarcus Aldridge,2016-17,0.002
Patrick Beverley,2016-17,0.002
Rudy Gobert,2017-18,0.923​
Joel Embiid,2017-18,0.323​
Anthony Davis,2017-18,0.275​
Paul George,2017-18,0.075​
Al Horford,2017-18,0.073​
Draymond Green,2017-18,0.040​
Jrue Holiday,2017-18,0.022​
Robert Covington,2017-18,0.016
Rudy Gobert,2018-19,0.822
Giannis Antetokounmpo,2018-19,0.560
Paul George,2018-19,0.300
Joel Embiid,2018-19,0.052
Myles Turner,2018-19,0.030
Draymond Green,2018-19,0.012
Kawhi Leonard,2018-19,0.012
Marcus Smart,2018-19,0.008
Giannis Antetokounmpo,2019-20,0.864​
Anthony Davis,2019-20,0.400​
Rudy Gobert,2019-20,0.374​
Ben Simmons,2019-20,0.064​
Bam Adebayo,2019-20,0.034​
Patrick Beverley,2019-20,0.014​
Marcus Smart,2019-20,0.014​
Andre Drummond,2019-20,0.010​
Kawhi Leonard,2019-20,0.010
Rudy Gobert,2020-21,0.928
Ben Simmons,2020-21,0.574
Draymond Green,2020-21,0.152
Bam Adebayo,2020-21,0.062
Giannis Antetokounmpo,2020-21,0.024
Clint Capela,2020-21,0.020
Joel Embiid,2020-21,0.014
Jrue Holiday,2020-21,0.012
Marcus Smart,2021-22,0.514
Mikal Bridges,2021-22,0.404
Rudy Gobert,2021-22,0.272
Bam Adebayo,2021-22,0.256
Jaren Jackson Jr.,2021-22,0.198
Giannis Antetokounmpo,2021-22,0.116
Robert Williams,2021-22,0.016
Jrue Holiday,2021-22,0.012
Jaren Jackson Jr.,2022-23,0.782
Brook Lopez,2022-23,0.618
Evan Mobley,2022-23,0.202
Draymond Green,2022-23,0.068
Bam Adebayo,2022-23,0.036
Giannis Antetokounmpo,2022-23,0.028
OG Anunoby,2022-23,0.016
Jrue Holiday,2022-23,0.016
Joel Embiid,2022-23,0.014
Nic Claxton,2022-23,0.014
Rudy Gobert,2023-24,0.875
Victor Wembanyama,2023-24,0.495
Bam Adebayo,2023-24,0.184
Anthony Davis,2023-24,0.168
Herbert Jones,2023-24,0.028
Jrue Holiday,2023-24,0.014
Shai Gilgeous-Alexander,2023-24,0.012
Derrick White,2023-24,0.010
Evan Mobley,2024-25,0.570
Dyson Daniels,2024-25,0.394
Draymond Green,2024-25,0.308
Luguentz Dort,2024-25,0.218
Amen Thompson,2024-25,0.186
Ivica Zubac,2024-25,0.068
Jaren Jackson Jr.,2024-25,0.018
Giannis Antetokounmpo,2024-25,0.010
