TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,DEF_RATING,DEF_RANK,SEASON
1610612737,Atlanta Hawks,82,60,22,0.732,102.3,5,2014-15
1610612738,Boston Celtics,82,40,42,0.488,103.5,12,2014-15
1610612751,Brooklyn Nets,82,38,44,0.463,106.3,22,2014-15
1610612766,Charlotte Hornets,82,33,49,0.402,103.0,10,2014-15
1610612741,Chicago Bulls,82,50,32,0.61,103.3,11,2014-15
1610612739,Cleveland Cavaliers,82,53,29,0.646,105.3,18,2014-15
1610612742,Dallas Mavericks,82,50,32,0.61,104.9,17,2014-15
1610612743,Denver Nuggets,82,30,52,0.366,107.1,25,2014-15
1610612765,Detroit Pistons,82,32,50,0.39,105.4,20,2014-15
1610612744,Golden State Warriors,82,67,15,0.817,100.4,1,2014-15
1610612745,Houston Rockets,82,56,26,0.683,102.6,7,2014-15
1610612754,Indiana Pacers,82,38,44,0.463,102.7,8,2014-15
1610612746,Los Angeles Clippers,82,56,26,0.683,104.7,16,2014-15
1610612747,Los Angeles Lakers,82,21,61,0.256,109.4,29,2014-15
1610612763,Memphis Grizzlies,82,55,27,0.671,101.2,2,2014-15
1610612748,Miami Heat,82,37,45,0.451,106.1,21,2014-15
1610612749,Milwaukee Bucks,82,41,41,0.5,101.4,3,2014-15
1610612750,Minnesota Timberwolves,82,16,66,0.195,110.9,30,2014-15
1610612740,New Orleans Pelicans,82,45,37,0.549,106.3,22,2014-15
1610612752,New York Knicks,82,17,65,0.207,109.0,28,2014-15
1610612760,Oklahoma City Thunder,82,45,37,0.549,104.6,15,2014-15
1610612753,Orlando Magic,82,25,57,0.305,106.8,24,2014-15
1610612755,Philadelphia 76ers,82,18,64,0.22,103.9,13,2014-15
1610612756,Phoenix Suns,82,39,43,0.476,105.3,18,2014-15
1610612757,Portland Trail Blazers,82,51,31,0.622,102.8,9,2014-15
1610612758,Sacramento Kings,82,29,53,0.354,108.2,27,2014-15
1610612759,San Antonio Spurs,82,55,27,0.671,101.4,3,2014-15
1610612761,Toronto Raptors,82,49,33,0.598,107.1,25,2014-15
1610612762,Utah Jazz,82,38,44,0.463,104.1,14,2014-15
1610612764,Washington Wizards,82,46,36,0.561,102.4,6,2014-15
1610612737,Atlanta Hawks,82,48,34,0.585,100.8,2,2015-16
1610612738,Boston Celtics,82,48,34,0.585,102.5,4,2015-16
1610612751,Brooklyn Nets,82,21,61,0.256,109.7,29,2015-16
1610612766,Charlotte Hornets,82,48,34,0.585,103.7,8,2015-16
1610612741,Chicago Bulls,82,42,40,0.512,105.5,15,2015-16
1610612739,Cleveland Cavaliers,82,57,25,0.695,103.9,10,2015-16
1610612742,Dallas Mavericks,82,42,40,0.512,105.9,16,2015-16
1610612743,Denver Nuggets,82,33,49,0.402,108.2,25,2015-16
1610612765,Detroit Pistons,82,44,38,0.537,104.9,13,2015-16
1610612744,Golden State Warriors,82,73,9,0.89,102.8,6,2015-16
1610612745,Houston Rockets,82,41,41,0.5,107.3,21,2015-16
1610612754,Indiana Pacers,82,45,37,0.549,102.2,3,2015-16
1610612746,LA Clippers,82,53,29,0.646,102.7,5,2015-16
1610612747,Los Angeles Lakers,82,17,65,0.207,110.3,30,2015-16
1610612763,Memphis Grizzlies,82,42,40,0.512,107.1,20,2015-16
1610612748,Miami Heat,82,48,34,0.585,103.7,8,2015-16
1610612749,Milwaukee Bucks,82,33,49,0.402,107.8,23,2015-16
1610612750,Minnesota Timberwolves,82,29,53,0.354,109.0,28,2015-16
1610612740,New Orleans Pelicans,82,30,52,0.366,108.4,26,2015-16
1610612752,New York Knicks,82,32,50,0.39,106.7,18,2015-16
1610612760,Oklahoma City Thunder,82,55,27,0.671,104.8,11,2015-16
1610612753,Orlando Magic,82,35,47,0.427,106.0,17,2015-16
1610612755,Philadelphia 76ers,82,10,72,0.122,108.6,27,2015-16
1610612756,Phoenix Suns,82,23,59,0.28,107.9,24,2015-16
